2026-01-06 14:16:36 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 14:16:36 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 14:17:01 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 14:17:01 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 14:20:07 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 14:20:07 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 14:21:13 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 14:21:13 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 14:21:59 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 14:21:59 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 14:22:46 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 14:22:46 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 14:31:04 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 14:31:04 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 14:32:05 | ERROR    | ArtifactManagerIntegrated | Режим создания не активен
2026-01-06 14:41:54 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 14:41:54 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 14:45:36 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 14:45:36 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 14:47:12 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 14:47:12 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 14:48:30 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 14:48:30 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 14:57:41 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 14:57:41 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 15:02:13 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 15:02:13 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 15:05:23 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 15:05:23 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 15:06:22 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 15:06:22 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 15:09:18 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 15:09:18 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 15:15:05 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 15:15:05 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 15:16:46 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 15:16:46 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 15:36:20 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 15:36:20 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
2026-01-06 15:37:04 | INFO     | ArtifactManagerIntegrated | Зарегистрировано артефактов: 2
2026-01-06 15:37:04 | INFO     | ArtifactManagerIntegrated | Менеджер артефактов инициализирован
